what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352335648692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335655688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335662022
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1352335662609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335683449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335687023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335687847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335690787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335710313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335711874
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1352335713870
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352335714750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335715681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335752890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335757554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335761959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335763691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335765580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335822238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335848201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335849192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335872319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335875917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335897051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335897769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335903074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335907875
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352335911010
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1352335913206
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1352335914559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335915143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352335919450
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1352335919582
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352336382428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336383146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336390038
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1352336390943
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1352336623690
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1352336626425
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352336627775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336629963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336631503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336631511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336631572
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1352336631689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336659274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336661983
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352336663205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336664640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336686749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336689913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336693166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336700100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336705324
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1352336706049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352336707341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337039222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337045105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337141710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337145505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337159918
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352337163630
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1352337167555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1352337168123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1352337169002
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1352337170826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1352337171404
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1352337171602
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1352337175775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337179431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337182949
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1352337185319
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1352337185635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1352337186708
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1352337187405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337188278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337188698
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1352337188729
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1352337190671
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352337293596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337296079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337356774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337358260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337365363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337366715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337386329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337386839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337406976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337408622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337419785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337422907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337425905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337427027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337511941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337529231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337854404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337868096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352337963023
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1352337964928
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352337966693
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352337968449
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352337970855
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352337973925
